rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
153,frame_0304.jpg,121.6,0.4181,0.5368,0.2857,0.32,10,2,False,False
154,frame_0282.jpg,112.8,0.4179,0.4724,0.2857,0.48,11,2,False,False
155,frame_0184.jpg,73.6,0.4163,0.7148,0.1429,0.08,10,1,False,False
156,frame_0095.jpg,38.0,0.4159,0.682,0.1429,0.16,12,1,False,False
157,frame_0289.jpg,115.6,0.4142,0.353,0.2857,0.76,11,2,False,False
158,frame_0004.jpg,1.6,0.4136,0.4272,0.0,1.0,13,0,False,False
159,frame_0084.jpg,33.6,0.4132,0.415,0.2857,0.6,10,2,False,False
160,frame_0087.jpg,34.8,0.4131,0.4627,0.2857,0.48,6,2,False,False
161,frame_0372.jpg,148.8,0.4108,0.5164,0.4286,0.12,17,3,False,False
162,frame_0106.jpg,42.4,0.4099,0.5466,0.4286,0.04,10,3,False,False
163,frame_0192.jpg,76.8,0.4094,0.5673,0.2857,0.2,10,2,False,False
164,frame_0281.jpg,112.4,0.4073,0.4672,0.2857,0.44,9,2,False,False
165,frame_0391.jpg,156.4,0.405,0.6226,0.2857,0.04,10,2,False,False
166,frame_0230.jpg,92.0,0.4041,0.5887,0.2857,0.12,15,2,False,False
167,frame_0205.jpg,82.0,0.3988,0.3381,0.2857,0.72,5,2,False,False
168,frame_0009.jpg,3.6,0.3982,0.3107,0.1429,1.0,7,1,False,False
169,frame_0209.jpg,83.6,0.3971,0.4205,0.1429,0.72,8,1,False,False
170,frame_0129.jpg,51.6,0.3951,0.4381,0.0,0.88,12,0,False,False
171,frame_0274.jpg,109.6,0.3948,0.6398,0.1429,0.16,13,1,False,False
172,frame_0118.jpg,47.2,0.3936,0.4398,0.2857,0.44,12,2,False,False
173,frame_0189.jpg,75.6,0.3926,0.496,0.4286,0.08,8,3,False,False
174,frame_0116.jpg,46.4,0.3916,0.4677,0.2857,0.36,11,2,False,False
175,frame_0194.jpg,77.6,0.3905,0.4976,0.2857,0.28,7,2,False,False
176,frame_0389.jpg,155.6,0.3905,0.6472,0.1429,0.12,13,1,False,False
177,frame_0167.jpg,66.8,0.3888,0.4519,0.1429,0.6,10,1,False,False
178,frame_0373.jpg,149.2,0.3885,0.5416,0.2857,0.16,13,2,False,False
179,frame_0115.jpg,46.0,0.3872,0.475,0.2857,0.32,9,2,False,False
180,frame_0108.jpg,43.2,0.3868,0.6719,0.1429,0.04,13,1,False,False
181,frame_0327.jpg,130.8,0.3862,0.6707,0.1429,0.04,11,1,False,False
182,frame_0399.jpg,159.6,0.3815,0.5653,0.1429,0.28,10,1,False,False
183,frame_0323.jpg,129.2,0.3801,0.455,0.4286,0.12,10,3,False,False
184,frame_0025.jpg,10.0,0.3768,0.2678,0.1429,1.0,7,1,False,False
185,frame_0201.jpg,80.4,0.3762,0.357,0.2857,0.56,5,2,False,False
186,frame_0233.jpg,93.2,0.3755,0.4835,0.2857,0.24,17,2,False,False
187,frame_0023.jpg,9.2,0.3714,0.257,0.1429,1.0,7,1,False,False
188,frame_0215.jpg,86.0,0.3713,0.3792,0.2857,0.48,10,2,False,False
189,frame_0174.jpg,69.6,0.3706,0.4417,0.2857,0.32,11,2,False,False
190,frame_0196.jpg,78.4,0.3669,0.504,0.1429,0.36,4,1,False,False
191,frame_0111.jpg,44.4,0.3639,0.4066,0.4286,0.16,14,3,False,False
192,frame_0217.jpg,86.8,0.3635,0.3956,0.2857,0.4,11,2,False,False
193,frame_0396.jpg,158.4,0.3635,0.4916,0.2857,0.16,12,2,False,False
194,frame_0371.jpg,148.4,0.3632,0.5229,0.2857,0.08,12,2,False,False
195,frame_0010.jpg,4.0,0.363,0.2402,0.1429,1.0,5,1,False,False
196,frame_0098.jpg,39.2,0.3624,0.4516,0.4286,0.04,12,3,False,False
197,frame_0008.jpg,3.2,0.3606,0.2354,0.1429,1.0,7,1,False,False
198,frame_0206.jpg,82.4,0.36,0.3303,0.1429,0.76,6,1,False,False
199,frame_0221.jpg,88.4,0.3589,0.4503,0.2857,0.24,9,2,False,False
200,frame_0231.jpg,92.4,0.3561,0.6482,0.0,0.16,14,0,False,False
201,frame_0088.jpg,35.2,0.3533,0.3591,0.2857,0.44,11,2,False,False
202,frame_0208.jpg,83.2,0.3533,0.4026,0.0,0.76,9,0,False,False
203,frame_0309.jpg,123.6,0.3516,0.4838,0.2857,0.12,10,2,False,False
204,frame_0269.jpg,107.6,0.3513,0.4294,0.4286,0.04,10,3,False,False
205,frame_0100.jpg,40.0,0.3504,0.5133,0.2857,0.04,9,2,False,False
206,frame_0085.jpg,34.0,0.3494,0.3033,0.2857,0.56,10,2,False,False
207,frame_0200.jpg,80.0,0.347,0.4003,0.1429,0.52,4,1,False,False
208,frame_0168.jpg,67.2,0.3466,0.3834,0.1429,0.56,10,1,False,False
209,frame_0214.jpg,85.6,0.346,0.3125,0.2857,0.52,6,2,False,False
210,frame_0090.jpg,36.0,0.3453,0.3752,0.2857,0.36,8,2,False,False
211,frame_0213.jpg,85.2,0.3426,0.3755,0.1429,0.56,8,1,False,False
212,frame_0122.jpg,48.8,0.3399,0.3541,0.1429,0.6,14,1,False,False
213,frame_0102.jpg,40.8,0.3394,0.4594,0.2857,0.12,9,2,False,False
214,frame_0219.jpg,87.6,0.338,0.4623,0.1429,0.32,6,1,False,False
215,frame_0117.jpg,46.8,0.3373,0.4288,0.1429,0.4,11,1,False,False
216,frame_0300.jpg,120.0,0.3337,0.3897,0.1429,0.48,10,1,False,False
217,frame_0375.jpg,150.0,0.3312,0.4966,0.1429,0.2,10,1,False,False
218,frame_0222.jpg,88.8,0.33,0.4942,0.1429,0.2,9,1,False,False
219,frame_0381.jpg,152.4,0.3248,0.4621,0.2857,0.04,15,2,False,False
220,frame_0272.jpg,108.8,0.3215,0.4395,0.2857,0.08,12,2,False,False
221,frame_0204.jpg,81.6,0.3209,0.284,0.1429,0.68,5,1,False,False
222,frame_0195.jpg,78.0,0.3172,0.4207,0.1429,0.32,8,1,False,False
223,frame_0285.jpg,114.0,0.3093,0.3786,0.0,0.6,7,0,False,False
224,frame_0325.jpg,130.0,0.3067,0.5116,0.1429,0.04,12,1,False,False
225,frame_0094.jpg,37.6,0.3065,0.4473,0.1429,0.2,9,1,False,False
226,frame_0273.jpg,109.2,0.3061,0.3928,0.2857,0.12,9,2,False,False
227,frame_0311.jpg,124.4,0.3048,0.4221,0.2857,0.04,9,2,False,False
228,frame_0091.jpg,36.4,0.2992,0.3847,0.1429,0.32,7,1,False,False
229,frame_0376.jpg,150.4,0.2989,0.4481,0.1429,0.16,11,1,False,False
230,frame_0212.jpg,84.8,0.2971,0.2685,0.1429,0.6,8,1,False,False
231,frame_0019.jpg,7.6,0.2963,0.1925,0.0,1.0,6,0,False,False
232,frame_0024.jpg,9.6,0.2939,0.1877,0.0,1.0,5,0,False,False
233,frame_0104.jpg,41.6,0.2799,0.3404,0.2857,0.12,9,2,False,False
234,frame_0228.jpg,91.2,0.2773,0.5387,0.0,0.04,12,0,False,False
235,frame_0173.jpg,69.2,0.2675,0.3052,0.1429,0.36,10,1,False,False
236,frame_0275.jpg,110.0,0.2634,0.361,0.1429,0.2,12,1,False,False
237,frame_0216.jpg,86.4,0.2632,0.2646,0.1429,0.44,8,1,False,False
238,frame_0199.jpg,79.6,0.2615,0.2452,0.1429,0.48,5,1,False,False
239,frame_0394.jpg,157.6,0.2595,0.4012,0.1429,0.08,12,1,False,False
240,frame_0198.jpg,79.2,0.259,0.2563,0.1429,0.44,6,1,False,False
241,frame_0295.jpg,118.0,0.2565,0.241,0.0,0.68,8,0,False,False
242,frame_0093.jpg,37.2,0.2537,0.3256,0.1429,0.24,13,1,False,False
243,frame_0317.jpg,126.8,0.2482,0.3307,0.1429,0.2,11,1,False,False
244,frame_0112.jpg,44.8,0.247,0.3283,0.1429,0.2,11,1,False,False
245,frame_0271.jpg,108.4,0.2365,0.2856,0.2857,0.04,8,2,False,False
246,frame_0096.jpg,38.4,0.2342,0.4204,0.0,0.12,12,0,False,False
247,frame_0197.jpg,78.8,0.2317,0.2176,0.1429,0.4,5,1,False,False
248,frame_0191.jpg,76.4,0.2287,0.3076,0.1429,0.16,12,1,False,False
249,frame_0220.jpg,88.0,0.2207,0.3294,0.0,0.28,7,0,False,False
250,frame_0110.jpg,44.0,0.2145,0.2953,0.1429,0.12,11,1,False,False
251,frame_0092.jpg,36.8,0.2122,0.3124,0.0,0.28,11,0,False,False
252,frame_0218.jpg,87.2,0.2045,0.265,0.0,0.36,10,0,False,False
253,frame_0183.jpg,73.2,0.1801,0.3441,0.0,0.04,8,0,False,False
254,frame_0101.jpg,40.4,0.145,0.2579,0.0,0.08,8,0,False,False
255,frame_0313.jpg,125.2,0.1394,0.2627,0.0,0.04,5,0,False,False
256,frame_0224.jpg,89.6,0.1326,0.2172,0.0,0.12,9,0,False,False
